;arrival_airport_1;date_0;duration_0;depart_airport_0;price;date_1;duration_1;depart_time_1;day_week_0;download_date;number_destinations;link;depart_airport_1;currency;stops_0;number_stops_0;stops_1;number_stops_1;airlines;arrival_time_0;depart_time_0;arrival_airport_0;arrival_time_1;day_week_1
74;CIA;26-10;13.0;FCO;106.0;1-11;2.5;17:55;jue;11-10-2017 15:15:15;2;https://www.kayak.es/flights/ROM-MAD/2017-10-26/2017-11-01;MAD;€;IBZ;1;;0;Ryanair;23:30;10:30;MAD;20:25;mié
75;FCO;17-11;2.6;CIA;106.0;19-11;24.8;10:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;12:00;9:25;MAD;10:55;dom
76;FCO;17-11;2.6;CIA;106.0;19-11;22.7;12:15;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;19:10;16:35;MAD;10:55;dom
77;FCO;17-11;2.6;CIA;106.0;19-11;22.7;12:15;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;12:00;9:25;MAD;10:55;dom
78;FCO;17-11;2.6;CIA;106.0;19-11;24.8;10:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;19:10;16:35;MAD;10:55;dom
79;FCO;17-11;2.6;CIA;106.0;19-11;2.4;16:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Ryanair / Vueling;12:00;9:25;MAD;19:00;dom
80;FCO;17-11;2.6;CIA;106.0;19-11;2.4;16:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Ryanair / Vueling;19:10;16:35;MAD;19:00;dom
81;CIA;26-10;13.0;FCO;106.0;30-10;2.5;13:40;jue;11-10-2017 15:24:09;2;https://www.kayak.es/flights/ROM-MAD/2017-10-26/2017-10-30;MAD;€;IBZ;1;;0;Ryanair;23:30;10:30;MAD;16:10;lun
82;CIA;26-10;13.0;FCO;106.0;30-10;2.5;6:30;jue;11-10-2017 15:24:09;2;https://www.kayak.es/flights/ROM-MAD/2017-10-26/2017-10-30;MAD;€;IBZ;1;;0;Ryanair;23:30;10:30;MAD;9:00;lun
83;FCO;17-11;2.6;FCO;106.0;19-11;2.5;8:45;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Vueling / Iberia;22:20;19:45;MAD;11:15;dom
84;CIA;26-10;13.0;FCO;106.0;29-10;2.5;6:30;jue;11-10-2017 15:21:32;2;https://www.kayak.es/flights/ROM-MAD/2017-10-26/2017-10-29;MAD;€;IBZ;1;;0;Ryanair;23:30;10:30;MAD;9:00;dom
85;FCO;17-11;2.6;CIA;106.0;19-11;25.2;12:15;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;12:00;9:25;MAD;13:25;dom
86;CIA;10-11;2.6;FCO;106.0;12-11;2.5;17:55;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Vueling / Ryanair;22:20;19:45;MAD;20:25;dom
87;FCO;24-11;2.6;FCO;107.0;26-11;2.5;7:00;vie;11-10-2017 15:17:48;2;https://www.kayak.es/flights/ROM-MAD/2017-11-24/2017-11-26;MAD;€;;0;;0;Vueling / Air Europa;22:20;19:45;MAD;9:30;dom
88;CIA;26-10;2.6;CIA;107.0;30-10;2.5;18:05;jue;11-10-2017 15:24:09;2;https://www.kayak.es/flights/ROM-MAD/2017-10-26/2017-10-30;MAD;€;;0;;0;Ryanair;20:00;17:25;MAD;20:35;lun
89;CIA;10-11;2.6;CIA;108.0;12-11;2.5;13:40;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Ryanair;23:25;20:50;MAD;16:10;dom
90;CIA;10-11;2.6;CIA;108.0;12-11;2.5;17:55;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Ryanair;19:10;16:35;MAD;20:25;dom
91;CIA;10-11;2.6;FCO;111.0;12-11;2.5;6:30;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Iberia / Ryanair;14:35;12:00;MAD;9:00;dom
92;CIA;27-10;12.5;FCO;114.0;1-11;2.5;17:55;vie;11-10-2017 15:12:36;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-11-01;MAD;€;IBZ;1;;0;Ryanair;23:30;11:00;MAD;20:25;mié
